item_id,material,share
c6f2cbdde021,cotton,1.0
88ade45088c4,cotton,0.855
88ade45088c4,polyester,0.145
bd9ddddd5d5b,cotton,1.0
2953dbe2f0b3,cotton,0.57
2953dbe2f0b3,viscose,0.39
2953dbe2f0b3,elastane,0.04
c3e305f96efd,cotton,1.0
62cee564e370,cotton,0.492537
62cee564e370,polyester,0.507463
04f689ce1cc1,cotton,1.0
c2030af233ac,cotton,1.0
4013e8d18d27,cotton,1.0
1f751ecc9908,cotton,0.96
1f751ecc9908,elastane,0.04
b61ebfc209a6,cotton,0.855
b61ebfc209a6,polyester,0.145
51ddfb026d75,linen,1.0
ac93a6fa5d21,cotton,0.6
ac93a6fa5d21,viscose,0.4
981fa79f5b35,cotton,0.6
981fa79f5b35,viscose,0.4
e8d70159df1c,polyester,0.868339
e8d70159df1c,nylon,0.109718
e8d70159df1c,elastane,0.021944
182e7f491c19,linen,1.0
e6b78344f3bb,linen,1.0
ee94efb142e3,nylon,1.0
0a0646f9e14c,polyester,0.882682
0a0646f9e14c,nylon,0.097765
0a0646f9e14c,elastane,0.019553
e5e04f04ba2c,denim,1.0
9963b7ef01c7,linen,1.0
0d68689cbe3c,linen,1.0
860777864d45,linen,1.0
87b3b6a24191,cotton,0.219512
87b3b6a24191,polyester,0.670732
87b3b6a24191,viscose,0.109756
b6e6db6d79c2,linen,1.0
973139ded460,viscose,0.62
973139ded460,linen,0.33
973139ded460,nylon,0.05
f54a7005942f,viscose,0.6
f54a7005942f,cotton,0.29
f54a7005942f,nylon,0.11
618d5d182a15,linen,1.0
b34ceebad599,cotton,1.0
8b88b4205179,cotton,1.0
4cfe9f6f41e1,cotton,0.434211
4cfe9f6f41e1,polyester,0.565789
1a3dffc7ac37,polyester,1.0
d854bf119279,viscose,0.248
d854bf119279,linen,0.132
d854bf119279,nylon,0.02
d854bf119279,polyester,0.16
d854bf119279,cotton,0.44
6ef447912993,cotton,1.0
270f3dcd9203,polyester,0.689189
270f3dcd9203,cotton,0.121622
270f3dcd9203,elastane,0.189189
18f1d8e5ed71,cotton,0.270492
18f1d8e5ed71,linen,0.139344
18f1d8e5ed71,polyester,0.590164
b57d4f4b8d5f,cotton,0.45045
b57d4f4b8d5f,polyester,0.54955
2c65ece3e0b5,cotton,0.64
2c65ece3e0b5,elastane,0.026667
2c65ece3e0b5,polyester,0.333333
2133fb846d9b,polyester,1.0
36e231b853fe,polyester,1.0
12eae81cbfab,polyester,1.0
dfa088477a1a,polyester,1.0
99feda7719b2,polyester,1.0
a65ca7508cbd,polyester,0.689189
a65ca7508cbd,cotton,0.121622
a65ca7508cbd,elastane,0.189189
8afcd536a2a2,cotton,0.409836
8afcd536a2a2,polyester,0.590164
cc740a9d679f,viscose,0.51
cc740a9d679f,linen,0.32
cc740a9d679f,cotton,0.17
dcccc49aa188,polyester,1.0
2188d6c72a5d,cotton,0.64
2188d6c72a5d,elastane,0.026667
