strategy,date,equity
h2_nowcast_trends_monthly,2017-06-19,0.985763
h2_nowcast_trends_monthly,2017-06-20,0.985763
h2_nowcast_trends_monthly,2017-06-21,0.985763
h2_nowcast_trends_monthly,2017-06-22,0.985763
h2_nowcast_trends_monthly,2017-06-23,0.985763
h2_nowcast_trends_monthly,2017-06-26,0.985763
h2_nowcast_trends_monthly,2017-06-27,0.985763
h2_nowcast_trends_monthly,2017-06-28,0.985763
h2_nowcast_trends_monthly,2017-06-29,0.985763
h2_nowcast_trends_monthly,2017-06-30,0.985763
h2_nowcast_trends_monthly,2017-07-03,0.985763
h2_nowcast_trends_monthly,2017-07-04,0.985763
h2_nowcast_trends_monthly,2017-07-05,0.985763
h2_nowcast_trends_monthly,2017-07-06,0.985763
h2_nowcast_trends_monthly,2017-07-07,0.985763
h2_nowcast_trends_monthly,2017-07-10,0.985763
h2_nowcast_trends_monthly,2017-07-11,0.985763
h2_nowcast_trends_monthly,2017-07-12,0.985763
h2_nowcast_trends_monthly,2017-07-13,0.985763
h2_nowcast_trends_monthly,2017-07-14,0.985763
h2_nowcast_trends_monthly,2017-07-17,0.985763
h2_nowcast_trends_monthly,2017-07-18,0.985763
h2_nowcast_trends_monthly,2017-07-19,0.985763
h2_nowcast_trends_monthly,2017-07-20,0.985763
h2_nowcast_trends_monthly,2017-07-21,0.985763
h2_nowcast_trends_monthly,2017-07-24,0.985763
h2_nowcast_trends_monthly,2017-07-25,0.985763
h2_nowcast_trends_monthly,2017-07-26,0.985763
h2_nowcast_trends_monthly,2017-07-27,0.985763
h2_nowcast_trends_monthly,2017-07-28,0.985763
h2_nowcast_trends_monthly,2017-07-31,0.985763
h2_nowcast_trends_monthly,2017-08-01,0.985763
h2_nowcast_trends_monthly,2017-08-02,0.985763
h2_nowcast_trends_monthly,2017-08-03,0.985763
h2_nowcast_trends_monthly,2017-08-04,0.985763
h2_nowcast_trends_monthly,2017-08-07,0.985763
h2_nowcast_trends_monthly,2017-08-08,0.985763
h2_nowcast_trends_monthly,2017-08-09,0.985763
h2_nowcast_trends_monthly,2017-08-10,0.985763
h2_nowcast_trends_monthly,2017-08-11,0.985763
h2_nowcast_trends_monthly,2017-08-14,0.985763
h2_nowcast_trends_monthly,2017-08-15,0.985763
h2_nowcast_trends_monthly,2017-08-16,0.985763
h2_nowcast_trends_monthly,2017-08-17,0.985763
h2_nowcast_trends_monthly,2017-08-18,0.985763
h2_nowcast_trends_monthly,2017-08-21,0.985763
h2_nowcast_trends_monthly,2017-08-22,0.985763
h2_nowcast_trends_monthly,2017-08-23,0.985763
h2_nowcast_trends_monthly,2017-08-24,0.985763
h2_nowcast_trends_monthly,2017-08-25,0.985763
h2_nowcast_trends_monthly,2017-08-28,0.985763
h2_nowcast_trends_monthly,2017-08-29,0.985763
h2_nowcast_trends_monthly,2017-08-30,0.985763
h2_nowcast_trends_monthly,2017-08-31,0.985763
h2_nowcast_trends_monthly,2017-09-01,0.985763
h2_nowcast_trends_monthly,2017-09-04,0.985763
h2_nowcast_trends_monthly,2017-09-05,0.985763
h2_nowcast_trends_monthly,2017-09-06,0.985763
h2_nowcast_trends_monthly,2017-09-07,0.985763
h2_nowcast_trends_monthly,2017-09-08,0.985763
h2_nowcast_trends_monthly,2017-09-11,0.985763
h2_nowcast_trends_monthly,2017-09-12,0.985763
h2_nowcast_trends_monthly,2017-09-13,0.985763
h2_nowcast_trends_monthly,2017-09-14,0.985763
h2_nowcast_trends_monthly,2017-09-15,0.985763
h2_nowcast_trends_monthly,2017-09-18,0.985763
h2_nowcast_trends_monthly,2017-09-19,0.985763
h2_nowcast_trends_monthly,2017-09-20,0.985763
h2_nowcast_trends_monthly,2017-09-21,0.985763
h2_nowcast_trends_monthly,2017-09-22,0.985763
h2_nowcast_trends_monthly,2017-09-25,0.985763
h2_nowcast_trends_monthly,2017-09-26,0.985763
h2_nowcast_trends_monthly,2017-09-27,0.985763
h2_nowcast_trends_monthly,2017-09-28,0.985763
h2_nowcast_trends_monthly,2017-09-29,0.985763
h2_nowcast_trends_monthly,2017-10-02,0.979901
h2_nowcast_trends_monthly,2017-10-03,0.979865
h2_nowcast_trends_monthly,2017-10-04,0.992383
h2_nowcast_trends_monthly,2017-10-05,1.001372
h2_nowcast_trends_monthly,2017-10-06,1.002562
h2_nowcast_trends_monthly,2017-10-09,0.993257
h2_nowcast_trends_monthly,2017-10-10,0.994037
h2_nowcast_trends_monthly,2017-10-11,0.99811
h2_nowcast_trends_monthly,2017-10-12,1.004455
h2_nowcast_trends_monthly,2017-10-13,0.999696
h2_nowcast_trends_monthly,2017-10-16,0.998089
h2_nowcast_trends_monthly,2017-10-17,1.000858
h2_nowcast_trends_monthly,2017-10-18,1.01109
h2_nowcast_trends_monthly,2017-10-19,1.006663
h2_nowcast_trends_monthly,2017-10-20,1.011923
h2_nowcast_trends_monthly,2017-10-23,1.02228
h2_nowcast_trends_monthly,2017-10-24,1.02129
h2_nowcast_trends_monthly,2017-10-25,1.020628
h2_nowcast_trends_monthly,2017-10-26,1.02293
h2_nowcast_trends_monthly,2017-10-27,1.027099
h2_nowcast_trends_monthly,2017-10-30,1.02658
h2_nowcast_trends_monthly,2017-10-31,1.030115
h2_nowcast_trends_monthly,2017-11-01,1.033875
h2_nowcast_trends_monthly,2017-11-02,1.031807
h2_nowcast_trends_monthly,2017-11-03,1.031807
h2_nowcast_trends_monthly,2017-11-06,1.031807
h2_nowcast_trends_monthly,2017-11-07,1.031807
h2_nowcast_trends_monthly,2017-11-08,1.031807
h2_nowcast_trends_monthly,2017-11-09,1.031807
h2_nowcast_trends_monthly,2017-11-10,1.031807
h2_nowcast_trends_monthly,2017-11-13,1.031807
h2_nowcast_trends_monthly,2017-11-14,1.031807
h2_nowcast_trends_monthly,2017-11-15,1.031807
h2_nowcast_trends_monthly,2017-11-16,1.031807
h2_nowcast_trends_monthly,2017-11-17,1.031807
h2_nowcast_trends_monthly,2017-11-20,1.031807
h2_nowcast_trends_monthly,2017-11-21,1.031807
h2_nowcast_trends_monthly,2017-11-22,1.031807
h2_nowcast_trends_monthly,2017-11-23,1.031807
h2_nowcast_trends_monthly,2017-11-24,1.031807
h2_nowcast_trends_monthly,2017-11-27,1.031807
h2_nowcast_trends_monthly,2017-11-28,1.031807
h2_nowcast_trends_monthly,2017-11-29,1.031807
h2_nowcast_trends_monthly,2017-11-30,1.031807
h2_nowcast_trends_monthly,2017-12-01,1.031807
h2_nowcast_trends_monthly,2017-12-04,1.031807
h2_nowcast_trends_monthly,2017-12-05,1.031807
h2_nowcast_trends_monthly,2017-12-06,1.031807
h2_nowcast_trends_monthly,2017-12-07,1.031807
h2_nowcast_trends_monthly,2017-12-08,1.031807
h2_nowcast_trends_monthly,2017-12-11,1.031807
h2_nowcast_trends_monthly,2017-12-12,1.031807
h2_nowcast_trends_monthly,2017-12-13,1.031807
h2_nowcast_trends_monthly,2017-12-14,1.031807
h2_nowcast_trends_monthly,2017-12-15,1.031807
h2_nowcast_trends_monthly,2017-12-18,1.031807
h2_nowcast_trends_monthly,2017-12-19,1.031807
h2_nowcast_trends_monthly,2017-12-20,1.031807
h2_nowcast_trends_monthly,2017-12-21,1.031807
h2_nowcast_trends_monthly,2017-12-22,1.031807
h2_nowcast_trends_monthly,2017-12-25,1.031807
h2_nowcast_trends_monthly,2017-12-26,1.031807
h2_nowcast_trends_monthly,2017-12-27,1.031807
h2_nowcast_trends_monthly,2017-12-28,1.031807
h2_nowcast_trends_monthly,2017-12-29,1.031807
h2_nowcast_trends_monthly,2018-01-01,1.031807
h2_nowcast_trends_monthly,2018-01-02,1.031807
h2_nowcast_trends_monthly,2018-01-03,1.031807
h2_nowcast_trends_monthly,2018-01-04,1.031807
h2_nowcast_trends_monthly,2018-01-05,1.031807
h2_nowcast_trends_monthly,2018-01-08,1.031807
h2_nowcast_trends_monthly,2018-01-09,1.031807
h2_nowcast_trends_monthly,2018-01-10,1.031807
h2_nowcast_trends_monthly,2018-01-11,1.031807
h2_nowcast_trends_monthly,2018-01-12,1.031807
h2_nowcast_trends_monthly,2018-01-15,1.031807
h2_nowcast_trends_monthly,2018-01-16,1.031807
h2_nowcast_trends_monthly,2018-01-17,1.031807
h2_nowcast_trends_monthly,2018-01-18,1.031807
h2_nowcast_trends_monthly,2018-01-19,1.031807
h2_nowcast_trends_monthly,2018-01-22,1.031807
h2_nowcast_trends_monthly,2018-01-23,1.031807
h2_nowcast_trends_monthly,2018-01-24,1.031807
h2_nowcast_trends_monthly,2018-01-25,1.031807
h2_nowcast_trends_monthly,2018-01-26,1.031807
h2_nowcast_trends_monthly,2018-01-29,1.031807
h2_nowcast_trends_monthly,2018-01-30,1.031807
h2_nowcast_trends_monthly,2018-01-31,1.031807
h2_nowcast_trends_monthly,2018-02-01,1.031807
h2_nowcast_trends_monthly,2018-02-02,1.031807
h2_nowcast_trends_monthly,2018-02-05,1.031807
h2_nowcast_trends_monthly,2018-02-06,1.031807
h2_nowcast_trends_monthly,2018-02-07,1.031807
h2_nowcast_trends_monthly,2018-02-08,1.031807
h2_nowcast_trends_monthly,2018-02-09,1.031807
h2_nowcast_trends_monthly,2018-02-12,1.031807
h2_nowcast_trends_monthly,2018-02-13,1.031807
h2_nowcast_trends_monthly,2018-02-14,1.031807
h2_nowcast_trends_monthly,2018-02-15,1.031807
h2_nowcast_trends_monthly,2018-02-16,1.031807
h2_nowcast_trends_monthly,2018-02-19,1.031807
h2_nowcast_trends_monthly,2018-02-20,1.031807
h2_nowcast_trends_monthly,2018-02-21,1.031807
h2_nowcast_trends_monthly,2018-02-22,1.031807
h2_nowcast_trends_monthly,2018-02-23,1.031807
h2_nowcast_trends_monthly,2018-02-26,1.031807
h2_nowcast_trends_monthly,2018-02-27,1.031807
h2_nowcast_trends_monthly,2018-02-28,1.031807
h2_nowcast_trends_monthly,2018-03-01,1.031807
