month,sales_yoy_sa,trends_composite,measured_composite,eval_window
2018-08,1.5576323987538832,0.3545875082067155,,True
2018-09,0.5212735981966699,0.7568940983750702,,True
2018-10,3.0381657781761495,1.0081871680579004,,True
2018-11,2.088870238261764,1.140784494686557,,True
2018-12,1.6593598265214782,1.082158750383931,,True
2019-01,1.0261237938338441,1.4244757331721531,,True
2019-02,-1.2264020945294218,0.9562279981732337,,True
2019-03,3.2586076428301247,1.499406694647832,,True
2019-04,1.458663435548524,0.7172836136486271,,True
2019-05,-2.6700342774670704,0.5582756040120088,,True
2019-06,-0.2126872572591032,0.5008732473311511,,True
2019-07,-0.38729666924864903,0.7749558096042898,-0.049654389803675474,True
2019-08,1.7010596765197894,0.31980833303620027,0.29630593699010177,True
2019-09,1.1212333566923638,0.9943324819283694,0.10445691848729785,True
2019-10,-0.677624650885944,1.257564583467043,0.34835690786755896,True
2019-11,-1.0093628682347533,1.3491213960957862,-0.5369388795459615,True
2019-12,4.219800602828649,0.696707875832227,-0.6323975253669427,True
2020-01,3.424497973256302,0.9135573556965139,-0.5744916144698372,True
2020-02,2.4879092261904656,0.6171315000442545,-0.16467507664240721,True
2020-03,-49.27861494068612,-0.5117222795692581,-0.024187934920667366,True
2020-04,-87.44660327959211,-0.6439939967205027,-0.04304118364263042,True
2020-05,-62.69230769230769,0.17414498988915444,-0.1726825472063858,True
2020-06,-22.504865165415623,0.29790978735489504,0.14561140591009208,True
2020-07,-20.50590064952886,0.4595617829916053,-0.024024774365208678,True
2020-08,-19.14815830362855,0.46211406518261794,-0.3267221436744125,True
2020-09,-7.382767382767385,0.1342966983690085,0.013230899157577853,True
2020-10,-9.809616005162958,0.5444780649681088,-0.5062293466853421,True
2020-11,-14.201347236320016,0.07064179039424436,-0.6813661141520281,True
2020-12,-13.761957730812014,0.1926192627019831,-0.34596306064762306,True
2021-01,-9.455806829444091,0.2713491842240289,-0.401135076551628,True
2021-02,-13.090430600299474,0.8595786010662295,-0.2889124770743545,True
2021-03,112.2629582806574,1.1545151002648102,-0.6354667954315794,True
2021-04,758.1412367361872,1.1787327301039034,0.11356791175875806,True
2021-05,198.64613091541426,1.5062367830294352,0.16255059104003217,True
2021-06,49.351270553064275,0.8942031207485998,-0.5519864358333727,True
2021-07,39.910236492318305,0.9439123227605,0.09185191397858744,True
2021-08,35.11756726203934,0.5658335023154906,-0.09291526695073801,True
2021-09,20.855988427196092,0.7999109213687251,0.2616894727011016,True
2021-10,24.773830820342457,1.2907759643107244,-0.022780701487298986,True
2021-11,34.502043450204354,1.2281328222402734,0.15495732274215612,True
2021-12,23.506346094314324,0.9568424993727981,-0.26836814756577837,True
2022-01,15.244539529329826,0.6519025822552343,0.15925379956228747,True
2022-02,24.83032264801086,0.5669456966492121,-0.044467609907991666,True
2022-03,6.59406109078533,0.8810525748358949,-0.0013696381753491164,True
2022-04,7.035347290325333,0.8264933197800163,-0.23908529211420085,True
2022-05,2.0212942937947176,0.6742559449657065,-0.20116584904076443,True
2022-06,-1.221025661555708,0.4315291763932977,0.21261051674589318,True
2022-07,-0.7361710878058814,0.3434091673966344,-0.011956969272631842,True
2022-08,2.484835808408281,0.355048497037987,0.0955264432574918,True
2022-09,1.91926696384348,0.3840035246004782,-0.5555489240692808,True
2022-10,1.2330001638538368,0.7545298006904438,0.20494298065553862,True
2022-11,-1.999040460578927,0.592269383924829,0.2650216326343507,True
2022-12,0.338374133177366,0.49255256263432773,0.007331591454474737,True
2023-01,7.714890126494844,0.6628632445209904,-0.22256358155536068,False
2023-02,3.1367628607277265,0.09893308197694654,-0.3345509703852096,False
2023-03,-2.578224776500637,0.4405481943812841,0.056662676630491376,False
2023-04,-2.9279368999721167,0.33140251888861805,0.09451125037212141,False
2023-05,-0.9783938035059059,0.22222619557751538,-0.43388925278205664,False
2023-06,-1.1023749696036367,0.1875890008973478,-0.10592408130690338,False
2023-07,2.4113357640039856,0.06320768528571107,0.20054934309993377,False
2023-08,2.4694885505530895,0.15863149109299185,0.03990929976334615,False
2023-09,0.4778682217632557,0.11629582960361595,-0.14466369075667804,False
2023-10,-0.12139359851091047,0.4912538619746083,-0.05411812224030313,False
2023-11,1.3299608355091364,0.7712840126630317,-0.08322245665168396,False
2023-12,4.671301886006907,0.20064687432363512,-0.11348640369981772,False
2024-01,-0.4488977955911855,0.38610226534032455,0.07836011112919493,False
2024-02,1.8734793187347831,0.35306045087404864,-0.09061204766341052,False
2024-03,-0.6923392052437527,1.115350547021623,-0.07259070298170593,False
2024-04,2.277577150361121,0.748352379810108,-0.1511222269343533,False
2024-05,3.7958007410457073,0.6387577881260008,0.1581842017823988,False
2024-06,3.462830915498727,0.4848508222766042,0.10809601702866735,False
2024-07,2.269601100412655,0.28219596168807404,-0.26042505656437925,False
2024-08,-0.5855640535372797,0.17097772369265327,-0.27583918955620024,False
2024-09,2.09181411470718,1.0761767668258702,0.45215468560905053,False
2024-10,3.39099785277317,0.9308093891326945,0.21935784999773275,False
2024-11,2.596827441823013,0.7172063705355143,-0.24317187364867318,False
2024-12,2.9791973270753003,1.1130704965731497,0.19529919838499335,False
2025-01,4.444802319027308,0.5529168420085631,-0.32718125841775153,False
2025-02,1.8987341772152,0.3493503547110144,0.37751974686960293,False
2025-03,7.3759333360834844,1.084890516894845,0.05655983431403861,False
2025-04,5.159892468803906,0.5385798735607294,0.35568486101053115,False
2025-05,4.212279866730118,0.8381255006642228,0.3150036217413884,False
2025-06,5.077831029429247,0.4738372904526923,0.144146105434505,False
2025-07,6.720993710194234,0.44393349364723145,0.26293046938133835,False
2025-08,8.747044917257686,1.7494339830648737,0.5161571277652391,False
2025-09,6.281089617054869,2.5074711946639074,0.33577313315060264,False
2025-10,6.967084639498422,2.12172840804198,-0.05245120207895372,False
2025-11,7.495192873680501,2.337611830042888,0.12899780492628163,False
2025-12,4.9671687910390006,1.125611885342451,-0.3437850243852847,False
2026-01,4.386708811965145,1.3385154811436542,,False
2026-02,8.586272901285197,8.79930169623405,,False
2026-03,7.01141034999424,2.911701380841145,,False
2026-04,5.658361631500619,8.233865284022748,,False
2026-05,,3.72439032999352,,False
2026-06,,0.7665511264480791,,False
2026-07,,-0.21125669706575134,0.22295400093336004,False
