event_id,brand_slug,ticker,season,year,show_date,designer,trading_day_t0,local_index_used,CAR_pre30,CAR_pre10,CAR_pre5,CAR_0to1,CAR_0to5,CAR_0to10,CAR_0to30,AR_t1,AR_t5,AR_t10,raw_cum_return_t10,benchmark_cum_return_t10
E00211,bottega-veneta,KER.PA,fall,2001,2001-03-04,Laura Moltedo officially appointed Britis,2001-03-05,^FCHI,-0.0234274757718777,-0.029551936443239703,-0.05868261958148491,-0.003896144179331401,0.007941507613237397,-0.0007474525584140052,-0.04777856504021839,0.0022984363140026998,0.0155951692413954,0.0290832330734,-0.17077540871269872,-0.146600480382407
E00212,bottega-veneta,KER.PA,fall,2004,2004-02-23,,2004-02-23,^FCHI,0.017915867962498402,0.020469542294990803,0.0025463373326359996,0.0270219180827735,0.014678855377466805,0.020525159990886395,0.011329101545517093,0.025856745321362798,-0.0201748728812085,-0.0088188567241372,0.09462077514995278,0.056179747196568
E00213,bottega-veneta,KER.PA,spring,2005,2004-09-27,,2004-09-27,^FCHI,-0.04519909552367827,0.05791296877393672,0.0356045652168186,0.0057270353097199,-0.0022349738672215996,-0.01258460320395,-0.007536074368167469,-0.0035569934840588005,0.00019999355948699914,-0.005389225716670101,0.009569440759554697,0.06735313948718297
E00214,bottega-veneta,KER.PA,fall,2005,2005-02-20,,2005-02-21,^FCHI,0.07777509440857519,0.042655862865448396,0.043498449849567494,0.006047881668679299,0.008805275831919899,-0.0039735015814080015,-0.027545780158313413,0.0164990904666519,0.004215460686828,-0.006359605201101,0.1314286527943172,0.05762705996715001
E00215,bottega-veneta,KER.PA,spring,2006,2005-09-27,,2005-09-27,^FCHI,0.00644905015138709,-0.0416395898781285,-0.0123462207486576,-0.0031079743211122985,-0.0037649136718431986,-0.0008420577836898008,0.055194587489254085,-0.0034785162661736986,-0.0036977940266936997,0.0081065515655365,0.024040899216486403,0.018433906848789112
E00216,bottega-veneta,KER.PA,fall,2006,2006-02-20,,2006-02-20,^FCHI,-0.02639711439692529,-0.0236687784278126,-0.0232990404233379,0.0005514171909917999,0.027712773231810303,0.028226825740694,0.011551800046588196,-0.0050618397860744,0.0146080434574849,-0.006889507868529401,0.030900841447650804,0.029071130103882094
E00217,bottega-veneta,KER.PA,spring,2007,2006-09-25,,2006-09-25,^FCHI,0.057440235458891,-0.006088451995769302,-0.0129744952989708,0.0224843902925039,0.0336233100890253,0.0411168138189021,0.0182550465273134,0.014316953247798,-0.0064174064406697,-0.0081180437924901,0.15684280107195592,0.0582857517941628
E00218,bottega-veneta,KER.PA,fall,2007,2007-02-19,,2007-02-19,^FCHI,-0.021000434948458695,-0.0072374486825750005,0.017290996859156003,0.0174479553916644,0.025599007324076703,0.029256536392083598,0.05585043195166281,0.0012212119938862002,-0.0017473294143769006,0.0119001137728043,-0.016018747082785903,-0.024274848526410805
E00219,bottega-veneta,KER.PA,spring,2008,2007-09-24,,2007-09-24,^FCHI,0.04903662378673898,-0.009751946178527005,-0.0179930638132565,-0.0014510055019501004,0.0108828462587839,0.0250022026519409,0.0038050011337457026,0.0014637138093006995,0.0094924981318867,0.0040422260291516,0.14158870938014637,0.06754988294146652
E00220,bottega-veneta,KER.PA,fall,2008,2008-02-18,,2008-02-18,^FCHI,0.039966580591991124,-0.023191689157464696,-0.008716740385546096,0.009462246173023898,-0.008333768095181299,-0.005778810052244197,0.004126314033299092,0.011741996380978,-0.0005098786959974975,0.0035502534278455,-0.10424048827432329,-0.1384282588140702
