brand_key,year,season,first_url,reason
brunello-cucinelli,2004,fall,https://www.vogue.com/fashion-shows/fall-2004-ready-to-wear/brunello-cucinelli,no alias 200/parseable
brunello-cucinelli,2005,spring,https://www.vogue.com/fashion-shows/spring-2005-ready-to-wear/brunello-cucinelli,no alias 200/parseable
brunello-cucinelli,2005,fall,https://www.vogue.com/fashion-shows/fall-2005-ready-to-wear/brunello-cucinelli,no alias 200/parseable
brunello-cucinelli,2006,spring,https://www.vogue.com/fashion-shows/spring-2006-ready-to-wear/brunello-cucinelli,no alias 200/parseable
brunello-cucinelli,2006,fall,https://www.vogue.com/fashion-shows/fall-2006-ready-to-wear/brunello-cucinelli,no alias 200/parseable
brunello-cucinelli,2007,spring,https://www.vogue.com/fashion-shows/spring-2007-ready-to-wear/brunello-cucinelli,no alias 200/parseable
brunello-cucinelli,2007,fall,https://www.vogue.com/fashion-shows/fall-2007-ready-to-wear/brunello-cucinelli,no alias 200/parseable
brunello-cucinelli,2008,spring,https://www.vogue.com/fashion-shows/spring-2008-ready-to-wear/brunello-cucinelli,no alias 200/parseable
brunello-cucinelli,2008,fall,https://www.vogue.com/fashion-shows/fall-2008-ready-to-wear/brunello-cucinelli,no alias 200/parseable
brunello-cucinelli,2009,spring,https://www.vogue.com/fashion-shows/spring-2009-ready-to-wear/brunello-cucinelli,no alias 200/parseable
brunello-cucinelli,2010,spring,https://www.vogue.com/fashion-shows/spring-2010-ready-to-wear/brunello-cucinelli,no alias 200/parseable
brunello-cucinelli,2010,fall,https://www.vogue.com/fashion-shows/fall-2010-ready-to-wear/brunello-cucinelli,no alias 200/parseable
moncler,2009,fall,https://www.vogue.com/fashion-shows/fall-2009-ready-to-wear/moncler-gamme-rouge,no alias 200/parseable
moncler,2010,spring,https://www.vogue.com/fashion-shows/spring-2010-ready-to-wear/moncler-gamme-rouge,no alias 200/parseable
moncler,2010,fall,https://www.vogue.com/fashion-shows/fall-2010-ready-to-wear/moncler-gamme-rouge,no alias 200/parseable
moncler,2018,fall,https://www.vogue.com/fashion-shows/fall-2018-ready-to-wear/moncler-gamme-rouge,no alias 200/parseable
moncler,2019,spring,https://www.vogue.com/fashion-shows/spring-2019-ready-to-wear/moncler-gamme-rouge,no alias 200/parseable
moncler,2019,fall,https://www.vogue.com/fashion-shows/fall-2019-ready-to-wear/moncler-gamme-rouge,no alias 200/parseable
moncler,2020,spring,https://www.vogue.com/fashion-shows/spring-2020-ready-to-wear/moncler-gamme-rouge,no alias 200/parseable
moncler,2020,fall,https://www.vogue.com/fashion-shows/fall-2020-ready-to-wear/moncler-gamme-rouge,no alias 200/parseable
moncler,2021,spring,https://www.vogue.com/fashion-shows/spring-2021-ready-to-wear/moncler-gamme-rouge,no alias 200/parseable
moncler,2021,fall,https://www.vogue.com/fashion-shows/fall-2021-ready-to-wear/moncler-gamme-rouge,no alias 200/parseable
moncler,2022,spring,https://www.vogue.com/fashion-shows/spring-2022-ready-to-wear/moncler-gamme-rouge,no alias 200/parseable
