event_id,ticker,earnings_within_10d,confounder_unknown,confounded
E00255,CPRI,False,False,False
E00256,CPRI,False,False,False
E00257,CPRI,False,False,False
E00258,CPRI,False,False,False
E00259,CPRI,False,False,False
E00260,CPRI,False,False,False
E00261,CPRI,False,False,False
E00262,CPRI,False,False,False
E00263,CPRI,False,False,False
E00264,CPRI,False,False,False
E00265,CPRI,False,False,False
E00266,CPRI,False,False,False
E00267,CPRI,False,False,False
E00268,CPRI,False,False,False
E00269,CPRI,False,False,False
E00270,CPRI,False,False,False
E00271,CPRI,False,False,False
E00272,CPRI,False,False,False
E00273,CPRI,True,False,True
E00274,CPRI,False,False,False
E00275,CPRI,True,False,True
E00276,CPRI,False,False,False
E00277,CPRI,True,False,True
E00278,CPRI,False,False,False
E00279,CPRI,True,False,True
E00280,CPRI,False,False,False
E00281,CPRI,False,False,False
E00282,CPRI,False,False,False
E00283,CPRI,False,False,False
E00284,CPRI,False,False,False
E00285,CPRI,False,False,False
E00286,CPRI,False,False,False
E00287,CPRI,False,False,False
E00288,CPRI,False,False,False
E00289,CPRI,False,False,False
E00290,CPRI,True,False,True
E00291,CPRI,False,False,False
E00292,CPRI,False,False,False
E00293,TPR,False,False,False
E00294,TPR,False,False,False
E00295,TPR,False,False,False
E00296,TPR,False,False,False
E00297,TPR,False,False,False
E00298,TPR,False,False,False
E00299,TPR,False,False,False
E00300,TPR,False,False,False
E00301,TPR,False,False,False
E00302,TPR,False,False,False
E00303,TPR,False,False,False
E00304,TPR,False,False,False
E00305,TPR,True,False,True
E00306,TPR,False,False,False
E00307,TPR,False,False,False
E00308,TPR,False,False,False
E00309,TPR,True,False,True
E00310,TPR,False,False,False
E00311,TPR,True,False,True
E00312,TPR,False,False,False
E00313,TPR,True,False,True
E00314,TPR,False,False,False
E00315,TPR,True,False,True
E00318,PVH,False,False,False
E00319,PVH,False,False,False
E00320,PVH,False,False,False
E00321,PVH,False,False,False
E00322,PVH,False,False,False
E00323,PVH,False,False,False
E00324,PVH,False,False,False
E00325,PVH,False,False,False
E00326,PVH,False,False,False
E00327,PVH,False,False,False
E00328,PVH,False,False,False
E00329,PVH,False,False,False
E00330,PVH,False,False,False
E00331,PVH,False,False,False
E00332,PVH,False,False,False
E00333,PVH,False,False,False
E00334,PVH,False,False,False
E00335,PVH,False,False,False
E00336,PVH,False,False,False
E00337,PVH,False,False,False
E00338,PVH,False,False,False
E00339,PVH,False,False,False
E00340,PVH,False,False,False
E00341,PVH,False,False,False
E00342,PVH,False,False,False
E00343,PVH,False,False,False
E00344,PVH,False,False,False
E00345,PVH,False,False,False
E00346,PVH,False,False,False
E00347,PVH,False,False,False
E00348,PVH,False,False,False
E00349,PVH,False,False,False
E00350,PVH,False,False,False
E00351,PVH,False,False,False
E00352,PVH,False,False,False
E00353,PVH,False,False,False
E00354,PVH,False,False,False
E00357,PVH,False,False,False
E00358,PVH,False,False,False
E00359,PVH,False,False,False
E00360,PVH,False,False,False
E00361,PVH,False,False,False
E00362,PVH,False,False,False
E00363,PVH,False,False,False
E00364,PVH,False,False,False
E00365,PVH,False,False,False
E00366,PVH,False,False,False
E00367,PVH,False,False,False
E00368,PVH,False,False,False
E00369,PVH,False,False,False
E00370,PVH,False,False,False
E00371,PVH,False,False,False
E00372,PVH,False,False,False
E00373,PVH,False,False,False
E00374,PVH,False,False,False
