brand_slug,ticker,season,year,show_date,designer,source_url
dior,MC.PA,fall,2024,2024-02-27,,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/christian-dior
dior,MC.PA,spring,2025,2024-09-24,,https://www.vogue.com/fashion-shows/spring-2025-ready-to-wear/christian-dior
dior,MC.PA,fall,2025,2025-03-04,,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/christian-dior
gucci,KER.PA,spring,2000,1999-09-27,,https://www.vogue.com/fashion-shows/spring-2000-ready-to-wear/gucci
gucci,KER.PA,fall,2000,2000-02-21,,https://www.vogue.com/fashion-shows/fall-2000-ready-to-wear/gucci
gucci,KER.PA,spring,2001,2000-10-02,,https://www.vogue.com/fashion-shows/spring-2001-ready-to-wear/gucci
gucci,KER.PA,fall,2001,2001-03-01,,https://www.vogue.com/fashion-shows/fall-2001-ready-to-wear/gucci
gucci,KER.PA,spring,2002,2001-09-28,,https://www.vogue.com/fashion-shows/spring-2002-ready-to-wear/gucci
gucci,KER.PA,fall,2002,2002-03-01,,https://www.vogue.com/fashion-shows/fall-2002-ready-to-wear/gucci
gucci,KER.PA,spring,2003,2002-09-27,,https://www.vogue.com/fashion-shows/spring-2003-ready-to-wear/gucci
gucci,KER.PA,fall,2003,2003-02-28,,https://www.vogue.com/fashion-shows/fall-2003-ready-to-wear/gucci
gucci,KER.PA,spring,2004,2003-10-01,,https://www.vogue.com/fashion-shows/spring-2004-ready-to-wear/gucci
gucci,KER.PA,fall,2004,2004-02-24,,https://www.vogue.com/fashion-shows/fall-2004-ready-to-wear/gucci
gucci,KER.PA,spring,2005,2004-09-29,,https://www.vogue.com/fashion-shows/spring-2005-ready-to-wear/gucci
gucci,KER.PA,fall,2005,2005-02-22,,https://www.vogue.com/fashion-shows/fall-2005-ready-to-wear/gucci
gucci,KER.PA,spring,2006,2005-09-27,,https://www.vogue.com/fashion-shows/spring-2006-ready-to-wear/gucci
gucci,KER.PA,fall,2006,2006-02-21,,https://www.vogue.com/fashion-shows/fall-2006-ready-to-wear/gucci
gucci,KER.PA,spring,2007,2006-09-26,,https://www.vogue.com/fashion-shows/spring-2007-ready-to-wear/gucci
gucci,KER.PA,fall,2007,2007-02-20,,https://www.vogue.com/fashion-shows/fall-2007-ready-to-wear/gucci
gucci,KER.PA,spring,2008,2007-09-25,,https://www.vogue.com/fashion-shows/spring-2008-ready-to-wear/gucci
gucci,KER.PA,fall,2008,2008-02-19,,https://www.vogue.com/fashion-shows/fall-2008-ready-to-wear/gucci
gucci,KER.PA,spring,2009,2008-09-23,,https://www.vogue.com/fashion-shows/spring-2009-ready-to-wear/gucci
gucci,KER.PA,fall,2009,2009-02-27,,https://www.vogue.com/fashion-shows/fall-2009-ready-to-wear/gucci
gucci,KER.PA,spring,2010,2009-09-25,,https://www.vogue.com/fashion-shows/spring-2010-ready-to-wear/gucci
gucci,KER.PA,fall,2010,2010-02-26,,https://www.vogue.com/fashion-shows/fall-2010-ready-to-wear/gucci
gucci,KER.PA,spring,2011,2010-09-21,,https://www.vogue.com/fashion-shows/spring-2011-ready-to-wear/gucci
gucci,KER.PA,fall,2011,2011-02-22,,https://www.vogue.com/fashion-shows/fall-2011-ready-to-wear/gucci
gucci,KER.PA,spring,2012,2011-09-20,,https://www.vogue.com/fashion-shows/spring-2012-ready-to-wear/gucci
gucci,KER.PA,fall,2012,2012-02-21,,https://www.vogue.com/fashion-shows/fall-2012-ready-to-wear/gucci
gucci,KER.PA,spring,2013,2012-09-18,,https://www.vogue.com/fashion-shows/spring-2013-ready-to-wear/gucci
gucci,KER.PA,fall,2013,2013-02-19,,https://www.vogue.com/fashion-shows/fall-2013-ready-to-wear/gucci
gucci,KER.PA,spring,2014,2013-09-17,,https://www.vogue.com/fashion-shows/spring-2014-ready-to-wear/gucci
gucci,KER.PA,fall,2014,2014-02-18,,https://www.vogue.com/fashion-shows/fall-2014-ready-to-wear/gucci
gucci,KER.PA,spring,2015,2014-09-17,,https://www.vogue.com/fashion-shows/spring-2015-ready-to-wear/gucci
gucci,KER.PA,fall,2015,2015-02-25,,https://www.vogue.com/fashion-shows/fall-2015-ready-to-wear/gucci
gucci,KER.PA,spring,2016,2015-09-23,,https://www.vogue.com/fashion-shows/spring-2016-ready-to-wear/gucci
gucci,KER.PA,fall,2016,2016-02-24,of Gucci,https://www.vogue.com/fashion-shows/fall-2016-ready-to-wear/gucci
gucci,KER.PA,spring,2017,2016-09-21,,https://www.vogue.com/fashion-shows/spring-2017-ready-to-wear/gucci
gucci,KER.PA,fall,2017,2017-02-22,,https://www.vogue.com/fashion-shows/fall-2017-ready-to-wear/gucci
gucci,KER.PA,spring,2018,2017-09-20,,https://www.vogue.com/fashion-shows/spring-2018-ready-to-wear/gucci
gucci,KER.PA,fall,2018,2018-02-21,,https://www.vogue.com/fashion-shows/fall-2018-ready-to-wear/gucci
gucci,KER.PA,spring,2019,2018-09-24,,https://www.vogue.com/fashion-shows/spring-2019-ready-to-wear/gucci
gucci,KER.PA,fall,2019,2019-02-20,,https://www.vogue.com/fashion-shows/fall-2019-ready-to-wear/gucci
gucci,KER.PA,spring,2020,2019-09-22,,https://www.vogue.com/fashion-shows/spring-2020-ready-to-wear/gucci
gucci,KER.PA,fall,2020,2020-02-19,,https://www.vogue.com/fashion-shows/fall-2020-ready-to-wear/gucci
gucci,KER.PA,spring,2021,2020-11-16,organized a collaboration with Van Sant,https://www.vogue.com/fashion-shows/spring-2021-ready-to-wear/gucci
gucci,KER.PA,fall,2021,2021-04-15,,https://www.vogue.com/fashion-shows/fall-2021-ready-to-wear/gucci
gucci,KER.PA,spring,2022,2021-11-02,,https://www.vogue.com/fashion-shows/spring-2022-ready-to-wear/gucci
gucci,KER.PA,fall,2022,2022-02-25,,https://www.vogue.com/fashion-shows/fall-2022-ready-to-wear/gucci
gucci,KER.PA,spring,2023,2022-09-23,played up the intrigue here,https://www.vogue.com/fashion-shows/spring-2023-ready-to-wear/gucci
