look_id,model,tagged_at
alexander-mcqueen|FW2018|049,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|050,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|051,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|052,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|053,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|054,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|055,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|056,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|057,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|058,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|059,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2018|060,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|001,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|002,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|003,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|004,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|005,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|006,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|007,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|008,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|009,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|010,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|011,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|012,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|013,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|014,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|015,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|016,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|017,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|018,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|019,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|020,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|021,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|022,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|023,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|024,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|025,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|026,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|027,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|028,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|029,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|030,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|031,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|032,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|033,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|034,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|035,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|036,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|037,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|038,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|039,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|040,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|041,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|042,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|043,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|044,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|045,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|046,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|047,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|048,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|049,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|050,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|051,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|052,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|053,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|054,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|055,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|056,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|057,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|058,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|059,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2019|060,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|001,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|002,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|003,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|004,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|005,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|006,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|007,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|008,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|009,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|010,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|011,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|012,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|013,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|014,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|015,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|016,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|017,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|018,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|019,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|020,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|021,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|022,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|023,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|024,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|025,pixtral-12b-2409,2026-07-03
alexander-mcqueen|FW2020|026,pixtral-12b-2409,2026-07-03
