look_id,category
alexander-mcqueen|FW2018|054,dress
alexander-mcqueen|FW2018|055,outerwear
alexander-mcqueen|FW2018|056,dress
alexander-mcqueen|FW2018|057,dress
alexander-mcqueen|FW2018|058,dress
alexander-mcqueen|FW2018|059,knitwear
alexander-mcqueen|FW2018|060,tailoring
alexander-mcqueen|FW2019|001,tailoring
alexander-mcqueen|FW2019|002,top
alexander-mcqueen|FW2019|003,tailoring
alexander-mcqueen|FW2019|004,tailoring
alexander-mcqueen|FW2019|005,tailoring
alexander-mcqueen|FW2019|006,tailoring
alexander-mcqueen|FW2019|007,dress
alexander-mcqueen|FW2019|008,outerwear
alexander-mcqueen|FW2019|009,tailoring
alexander-mcqueen|FW2019|010,tailoring
alexander-mcqueen|FW2019|011,tailoring
alexander-mcqueen|FW2019|012,tailoring
alexander-mcqueen|FW2019|013,shoes
alexander-mcqueen|FW2019|014,shoes
alexander-mcqueen|FW2019|015,tailoring
alexander-mcqueen|FW2019|016,outerwear
alexander-mcqueen|FW2019|017,tailoring
alexander-mcqueen|FW2019|018,dress
alexander-mcqueen|FW2019|019,outerwear
alexander-mcqueen|FW2019|020,tailoring
alexander-mcqueen|FW2019|021,dress
alexander-mcqueen|FW2019|022,activewear
alexander-mcqueen|FW2019|023,outerwear
alexander-mcqueen|FW2019|024,outerwear
alexander-mcqueen|FW2019|025,tailoring
alexander-mcqueen|FW2019|026,outerwear
alexander-mcqueen|FW2019|027,dress
alexander-mcqueen|FW2019|028,knitwear
alexander-mcqueen|FW2019|029,dress
alexander-mcqueen|FW2019|030,dress
alexander-mcqueen|FW2019|031,dress
alexander-mcqueen|FW2019|032,tailoring
alexander-mcqueen|FW2019|033,dress
alexander-mcqueen|FW2019|034,tailoring
alexander-mcqueen|FW2019|035,dress
alexander-mcqueen|FW2019|036,tailoring
alexander-mcqueen|FW2019|037,tailoring
alexander-mcqueen|FW2019|038,tailoring
alexander-mcqueen|FW2019|039,dress
alexander-mcqueen|FW2019|040,outerwear
alexander-mcqueen|FW2019|041,dress
alexander-mcqueen|FW2019|042,tailoring
alexander-mcqueen|FW2019|043,dress
alexander-mcqueen|FW2019|044,outerwear
alexander-mcqueen|FW2019|045,dress
alexander-mcqueen|FW2019|046,tailoring
alexander-mcqueen|FW2019|047,dress
alexander-mcqueen|FW2019|048,tailoring
alexander-mcqueen|FW2019|049,dress
alexander-mcqueen|FW2019|050,tailoring
alexander-mcqueen|FW2019|051,dress
alexander-mcqueen|FW2019|052,outerwear
alexander-mcqueen|FW2019|053,dress
alexander-mcqueen|FW2019|054,tailoring
alexander-mcqueen|FW2019|055,dress
alexander-mcqueen|FW2019|056,outerwear
alexander-mcqueen|FW2019|057,outerwear
alexander-mcqueen|FW2019|058,dress
alexander-mcqueen|FW2019|059,tailoring
alexander-mcqueen|FW2019|060,dress
alexander-mcqueen|FW2020|001,tailoring
alexander-mcqueen|FW2020|002,outerwear
alexander-mcqueen|FW2020|003,tailoring
alexander-mcqueen|FW2020|004,dress
alexander-mcqueen|FW2020|005,outerwear
alexander-mcqueen|FW2020|006,dress
alexander-mcqueen|FW2020|007,dress
alexander-mcqueen|FW2020|008,tailoring
alexander-mcqueen|FW2020|009,outerwear
alexander-mcqueen|FW2020|010,tailoring
alexander-mcqueen|FW2020|011,tailoring
alexander-mcqueen|FW2020|012,shoes
alexander-mcqueen|FW2020|013,tailoring
alexander-mcqueen|FW2020|014,dress
alexander-mcqueen|FW2020|015,outerwear
alexander-mcqueen|FW2020|016,dress
alexander-mcqueen|FW2020|017,outerwear
alexander-mcqueen|FW2020|018,outerwear
alexander-mcqueen|FW2020|019,outerwear
alexander-mcqueen|FW2020|020,dress
alexander-mcqueen|FW2020|021,tailoring
alexander-mcqueen|FW2020|022,outerwear
alexander-mcqueen|FW2020|023,tailoring
alexander-mcqueen|FW2020|024,dress
alexander-mcqueen|FW2020|025,outerwear
alexander-mcqueen|FW2020|026,tailoring
