look_id,reason,logged
alexander-mcqueen|SS2021|023,image download failed,2026-07-03
balenciaga|SS2021|006,image download failed,2026-07-03
bottega-veneta|SS2021|006,image download failed,2026-07-03
brunello-cucinelli|SS2021|006,image download failed,2026-07-03
burberry|SS2021|006,image download failed,2026-07-03
chloe|SS2021|006,image download failed,2026-07-03
christian-dior|SS2021|006,image download failed,2026-07-03
fendi|SS2021|006,image download failed,2026-07-03
gucci|SS2021|006,image download failed,2026-07-03
hermes|SS2021|006,image download failed,2026-07-03
loewe|SS2021|006,image download failed,2026-07-03
louis-vuitton|SS2021|006,image download failed,2026-07-03
miu-miu|SS2021|006,image download failed,2026-07-03
prada|SS2021|006,image download failed,2026-07-03
saint-laurent|SS2021|006,image download failed,2026-07-03
salvatore-ferragamo|SS2021|006,image download failed,2026-07-03
tods|SS2021|006,image download failed,2026-07-03
valentino|SS2021|006,image download failed,2026-07-03
versace|SS2021|006,image download failed,2026-07-03
alexander-mcqueen|SS2022|005,image download failed,2026-07-03
balenciaga|SS2022|005,image download failed,2026-07-03
bottega-veneta|SS2022|004,image download failed,2026-07-03
brunello-cucinelli|SS2022|004,image download failed,2026-07-03
chloe|SS2022|004,image download failed,2026-07-03
christian-dior|SS2022|004,image download failed,2026-07-03
fendi|SS2022|004,image download failed,2026-07-03
gucci|SS2022|004,image download failed,2026-07-03
hermes|SS2022|004,image download failed,2026-07-03
loewe|SS2022|004,image download failed,2026-07-03
louis-vuitton|SS2022|004,image download failed,2026-07-03
miu-miu|SS2022|004,image download failed,2026-07-03
prada|SS2022|004,image download failed,2026-07-03
saint-laurent|SS2022|004,image download failed,2026-07-03
salvatore-ferragamo|SS2022|004,image download failed,2026-07-03
tods|SS2022|004,image download failed,2026-07-03
valentino|SS2022|004,image download failed,2026-07-03
versace|SS2022|004,image download failed,2026-07-03
alexander-mcqueen|SS2023|004,image download failed,2026-07-03
balenciaga|SS2023|004,image download failed,2026-07-03
bottega-veneta|SS2023|004,image download failed,2026-07-03
brunello-cucinelli|SS2023|004,image download failed,2026-07-03
chloe|SS2023|004,image download failed,2026-07-03
christian-dior|SS2023|004,image download failed,2026-07-03
fendi|SS2023|004,image download failed,2026-07-03
gucci|SS2023|004,image download failed,2026-07-03
hermes|SS2023|004,image download failed,2026-07-03
loewe|SS2023|004,image download failed,2026-07-03
louis-vuitton|SS2023|004,image download failed,2026-07-03
miu-miu|SS2023|004,image download failed,2026-07-03
prada|SS2023|004,image download failed,2026-07-03
ralph-lauren|SS2023|004,image download failed,2026-07-03
saint-laurent|SS2023|004,image download failed,2026-07-03
salvatore-ferragamo|SS2023|004,image download failed,2026-07-03
tods|SS2023|004,image download failed,2026-07-03
