event_id,ticker,earnings_within_10d,confounder_unknown,confounded
E00484,BC.MI,False,False,False
E00485,MONC.MI,True,False,True
E00486,SFER.MI,False,False,False
E00487,MC.PA,False,False,False
E00488,MC.PA,False,False,False
E00489,KER.PA,False,False,False
E00490,RMS.PA,False,False,False
E00491,CPRI,False,False,False
E00492,TPR,False,False,False
E00493,PVH,False,False,False
E00494,RL,False,False,False
E00495,BRBY.L,False,False,False
E00496,KER.PA,False,False,False
E00497,1913.HK,True,False,True
E00498,BC.MI,False,False,False
E00499,MONC.MI,False,False,False
E00500,SFER.MI,False,False,False
E00501,MC.PA,False,False,False
E00502,MC.PA,False,False,False
E00503,KER.PA,False,False,False
E00504,RMS.PA,False,False,False
E00505,CPRI,False,False,False
E00506,TPR,False,False,False
E00507,PVH,False,False,False
E00508,RL,False,False,False
E00509,BRBY.L,False,False,False
E00510,KER.PA,False,False,False
E00511,1913.HK,False,False,False
E00512,BC.MI,False,False,False
E00513,MONC.MI,False,False,False
E00514,SFER.MI,False,False,False
E00515,MC.PA,False,False,False
E00516,MC.PA,False,False,False
E00517,KER.PA,False,False,False
E00518,RMS.PA,False,False,False
E00519,CPRI,False,False,False
E00520,TPR,False,False,False
E00521,PVH,False,False,False
E00522,RL,False,False,False
E00523,BRBY.L,False,False,False
E00524,KER.PA,False,False,False
E00525,1913.HK,False,False,False
E00526,BC.MI,False,False,False
E00527,MONC.MI,False,False,False
E00528,SFER.MI,False,False,False
E00529,MC.PA,False,False,False
E00530,MC.PA,False,False,False
E00531,KER.PA,False,False,False
E00532,RMS.PA,False,False,False
E00533,CPRI,False,False,False
E00534,TPR,False,False,False
E00535,PVH,False,False,False
E00536,RL,False,False,False
E00537,BRBY.L,False,False,False
E00538,KER.PA,False,False,False
E00539,1913.HK,False,False,False
E00540,BC.MI,False,False,False
E00541,MONC.MI,True,False,True
E00542,SFER.MI,False,False,False
E00543,MC.PA,False,False,False
E00544,MC.PA,False,False,False
E00545,KER.PA,False,False,False
E00546,RMS.PA,False,False,False
E00547,CPRI,False,False,False
E00548,TPR,False,False,False
E00549,PVH,False,False,False
E00550,RL,False,False,False
E00551,BRBY.L,False,False,False
E00552,KER.PA,False,False,False
E00553,1913.HK,False,False,False
E00557,MC.PA,False,False,False
E00558,MC.PA,False,False,False
E00559,KER.PA,False,False,False
E00560,RMS.PA,False,False,False
E00561,CPRI,False,False,False
E00562,TPR,True,False,True
E00563,PVH,False,False,False
E00564,RL,False,False,False
E00565,BRBY.L,False,False,False
E00566,KER.PA,False,False,False
E00567,1913.HK,False,False,False
E00568,BC.MI,False,False,False
E00569,MONC.MI,False,False,False
E00570,SFER.MI,False,False,False
E00571,MC.PA,False,False,False
E00572,MC.PA,False,False,False
E00573,KER.PA,False,False,False
E00574,RMS.PA,False,False,False
E00575,CPRI,False,False,False
E00576,TPR,False,False,False
E00577,PVH,True,False,True
E00578,RL,False,False,False
E00579,BRBY.L,False,False,False
E00580,KER.PA,False,False,False
E00581,1913.HK,False,False,False
E00582,BC.MI,False,False,False
E00583,MONC.MI,False,False,False
E00584,SFER.MI,True,False,True
E00585,MC.PA,False,False,False
E00586,MC.PA,False,False,False
E00587,KER.PA,False,False,False
E00588,RMS.PA,False,False,False
E00589,CPRI,True,False,True
E00590,TPR,True,False,True
E00591,PVH,False,False,False
E00592,RL,True,False,True
E00593,BRBY.L,False,False,False
E00594,KER.PA,False,False,False
E00595,1913.HK,False,False,False
E00596,BC.MI,False,False,False
E00597,MONC.MI,True,False,True
E00598,SFER.MI,False,False,False
E00599,MC.PA,False,False,False
E00600,MC.PA,False,False,False
E00601,KER.PA,False,False,False
E00602,RMS.PA,False,False,False
E00603,CPRI,False,False,False
E00604,TPR,False,False,False
E00605,PVH,True,False,True
E00606,RL,False,False,False
E00607,BRBY.L,False,False,False
E00608,KER.PA,False,False,False
E00609,1913.HK,False,False,False
E00610,BC.MI,False,False,False
E00611,MONC.MI,False,False,False
E00612,SFER.MI,False,False,False
E00613,MC.PA,False,False,False
E00614,MC.PA,False,False,False
E00615,KER.PA,False,False,False
E00616,RMS.PA,False,False,False
E00617,CPRI,True,False,True
E00618,TPR,True,False,True
E00619,PVH,False,False,False
E00620,RL,True,False,True
E00621,BRBY.L,False,False,False
E00622,KER.PA,False,False,False
E00623,1913.HK,False,False,False
E00624,BC.MI,False,False,False
E00625,MONC.MI,True,False,True
E00626,SFER.MI,False,False,False
E00627,MC.PA,False,False,False
E00628,MC.PA,False,False,False
E00629,KER.PA,False,False,False
E00630,RMS.PA,False,False,False
E00631,CPRI,False,False,False
E00632,TPR,False,False,False
E00633,PVH,True,False,True
E00634,RL,False,False,False
E00635,BRBY.L,False,False,False
E00636,KER.PA,False,False,False
E00637,1913.HK,False,False,False
E00638,BC.MI,False,False,False
E00639,MONC.MI,False,False,False
E00640,SFER.MI,False,False,False
E00641,MC.PA,False,False,False
E00642,MC.PA,False,False,False
E00643,KER.PA,False,False,False
E00644,RMS.PA,False,False,False
E00645,CPRI,True,False,True
E00646,TPR,True,False,True
E00647,PVH,False,False,False
E00648,RL,True,False,True
E00649,BRBY.L,False,False,False
E00650,KER.PA,False,False,False
E00651,1913.HK,False,False,False
E00652,BC.MI,False,False,False
E00653,MONC.MI,True,False,True
E00654,SFER.MI,False,False,False
E00655,MC.PA,False,False,False
E00656,MC.PA,False,False,False
E00657,KER.PA,False,False,False
E00658,RMS.PA,False,False,False
E00659,CPRI,False,False,False
E00660,TPR,False,False,False
E00661,PVH,True,False,True
E00662,RL,False,False,False
E00663,BRBY.L,False,False,False
E00664,KER.PA,False,False,False
E00665,1913.HK,False,False,False
E00666,BC.MI,False,False,False
E00667,MONC.MI,False,False,False
E00668,SFER.MI,False,False,False
E00669,MC.PA,False,False,False
E00670,MC.PA,False,False,False
E00671,KER.PA,False,False,False
E00672,RMS.PA,False,False,False
E00673,CPRI,True,False,True
E00674,TPR,True,False,True
E00675,PVH,False,False,False
E00676,RL,True,False,True
E00677,BRBY.L,False,False,False
E00678,KER.PA,False,False,False
E00679,1913.HK,False,False,False
E00680,BC.MI,False,False,False
E00681,MONC.MI,False,False,False
E00682,SFER.MI,False,False,False
E00683,MC.PA,False,False,False
E00684,MC.PA,False,False,False
E00685,KER.PA,False,False,False
E00686,RMS.PA,False,False,False
E00687,CPRI,False,False,False
E00688,TPR,False,False,False
E00689,PVH,False,False,False
E00690,RL,False,False,False
E00691,BRBY.L,False,False,False
E00692,KER.PA,False,False,False
E00693,1913.HK,False,False,False
E00694,BC.MI,False,False,False
E00695,MONC.MI,False,False,False
E00696,SFER.MI,False,False,False
E00697,MC.PA,False,False,False
E00698,MC.PA,False,False,False
E00699,KER.PA,False,False,False
E00700,RMS.PA,False,False,False
E00701,CPRI,True,False,True
E00702,TPR,True,False,True
E00703,PVH,False,False,False
E00704,RL,True,False,True
E00705,BRBY.L,False,False,False
E00706,KER.PA,False,False,False
E00707,1913.HK,False,False,False
E00708,BC.MI,False,False,False
E00709,MONC.MI,False,False,False
E00710,SFER.MI,False,False,False
E00711,MC.PA,False,False,False
E00712,MC.PA,False,False,False
E00713,KER.PA,False,False,False
E00714,RMS.PA,False,False,False
E00715,CPRI,False,False,False
E00716,TPR,False,False,False
E00717,PVH,False,False,False
E00718,RL,False,False,False
E00719,BRBY.L,False,False,False
E00720,KER.PA,False,False,False
E00721,1913.HK,False,False,False
E00722,BC.MI,False,False,False
E00723,MONC.MI,False,False,False
E00724,SFER.MI,False,False,False
E00725,MC.PA,False,False,False
E00726,MC.PA,False,False,False
E00727,KER.PA,False,False,False
E00728,RMS.PA,False,False,False
