event_id,city,season,year,parent_ticker,ticker,brands_showing,n_brands_showing,fw_start_date,show_date,fw_end_date,local_index
E00322,paris,FW,2011,RMS.PA,RMS.PA,Hermès,1,2011-03-02,2011-03-02,2011-03-07,^FCHI
E00323,new_york,SS,2011,CPRI,CPRI,Michael Kors,1,2011-09-09,2011-09-09,2011-09-15,^GSPC
E00324,new_york,SS,2011,TPR,TPR,Coach,1,2011-09-09,2011-09-09,2011-09-15,^GSPC
E00325,new_york,SS,2011,PVH,PVH,Calvin Klein; Tommy Hilfiger,2,2011-09-09,2011-09-09,2011-09-15,^GSPC
E00326,new_york,SS,2011,RL,RL,Ralph Lauren,1,2011-09-09,2011-09-09,2011-09-15,^GSPC
E00327,london,SS,2011,BRBY.L,BRBY.L,Burberry,1,2011-09-16,2011-09-16,2011-09-21,^FTSE
E00328,milan,SS,2011,KER.PA,KER.PA,Gucci; Bottega Veneta,2,2011-09-22,2011-09-22,2011-09-27,FTSEMIB.MI
E00329,milan,SS,2011,1913.HK,1913.HK,Prada; Miu Miu,2,2011-09-22,2011-09-22,2011-09-27,FTSEMIB.MI
E00330,milan,SS,2011,BC.MI,BC.MI,Brunello Cucinelli,1,2011-09-22,2011-09-22,2011-09-27,FTSEMIB.MI
E00331,milan,SS,2011,MONC.MI,MONC.MI,Moncler,1,2011-09-22,2011-09-22,2011-09-27,FTSEMIB.MI
E00332,milan,SS,2011,SFER.MI,SFER.MI,Salvatore Ferragamo,1,2011-09-22,2011-09-22,2011-09-27,FTSEMIB.MI
E00333,milan,SS,2011,MC.PA,MC.PA,Fendi,1,2011-09-22,2011-09-22,2011-09-27,FTSEMIB.MI
E00334,paris,SS,2011,MC.PA,MC.PA,Louis Vuitton; Dior; Loewe; Celine; Givenchy; Fendi,6,2011-09-28,2011-09-28,2011-10-03,^FCHI
E00335,paris,SS,2011,KER.PA,KER.PA,Saint Laurent; Balenciaga; Alexander McQueen,3,2011-09-28,2011-09-28,2011-10-03,^FCHI
E00336,paris,SS,2011,RMS.PA,RMS.PA,Hermès,1,2011-09-28,2011-09-28,2011-10-03,^FCHI
E00337,new_york,FW,2012,CPRI,CPRI,Michael Kors,1,2012-02-10,2012-02-10,2012-02-16,^GSPC
E00338,new_york,FW,2012,TPR,TPR,Coach,1,2012-02-10,2012-02-10,2012-02-16,^GSPC
E00339,new_york,FW,2012,PVH,PVH,Calvin Klein; Tommy Hilfiger,2,2012-02-10,2012-02-10,2012-02-16,^GSPC
E00340,new_york,FW,2012,RL,RL,Ralph Lauren,1,2012-02-10,2012-02-10,2012-02-16,^GSPC
E00341,london,FW,2012,BRBY.L,BRBY.L,Burberry,1,2012-02-17,2012-02-17,2012-02-22,^FTSE
E00342,milan,FW,2012,KER.PA,KER.PA,Gucci; Bottega Veneta,2,2012-02-23,2012-02-23,2012-02-28,FTSEMIB.MI
E00343,milan,FW,2012,1913.HK,1913.HK,Prada; Miu Miu,2,2012-02-23,2012-02-23,2012-02-28,FTSEMIB.MI
E00344,milan,FW,2012,BC.MI,BC.MI,Brunello Cucinelli,1,2012-02-23,2012-02-23,2012-02-28,FTSEMIB.MI
E00345,milan,FW,2012,MONC.MI,MONC.MI,Moncler,1,2012-02-23,2012-02-23,2012-02-28,FTSEMIB.MI
E00346,milan,FW,2012,SFER.MI,SFER.MI,Salvatore Ferragamo,1,2012-02-23,2012-02-23,2012-02-28,FTSEMIB.MI
E00347,milan,FW,2012,MC.PA,MC.PA,Fendi,1,2012-02-23,2012-02-23,2012-02-28,FTSEMIB.MI
E00348,paris,FW,2012,MC.PA,MC.PA,Louis Vuitton; Dior; Loewe; Celine; Givenchy; Fendi,6,2012-02-29,2012-02-29,2012-03-05,^FCHI
E00349,paris,FW,2012,KER.PA,KER.PA,Saint Laurent; Balenciaga; Alexander McQueen,3,2012-02-29,2012-02-29,2012-03-05,^FCHI
E00350,paris,FW,2012,RMS.PA,RMS.PA,Hermès,1,2012-02-29,2012-02-29,2012-03-05,^FCHI
E00351,new_york,SS,2012,CPRI,CPRI,Michael Kors,1,2012-09-07,2012-09-07,2012-09-13,^GSPC
E00352,new_york,SS,2012,TPR,TPR,Coach,1,2012-09-07,2012-09-07,2012-09-13,^GSPC
E00353,new_york,SS,2012,PVH,PVH,Calvin Klein; Tommy Hilfiger,2,2012-09-07,2012-09-07,2012-09-13,^GSPC
E00354,new_york,SS,2012,RL,RL,Ralph Lauren,1,2012-09-07,2012-09-07,2012-09-13,^GSPC
E00355,london,SS,2012,BRBY.L,BRBY.L,Burberry,1,2012-09-14,2012-09-14,2012-09-19,^FTSE
E00356,milan,SS,2012,KER.PA,KER.PA,Gucci; Bottega Veneta,2,2012-09-20,2012-09-20,2012-09-25,FTSEMIB.MI
E00357,milan,SS,2012,1913.HK,1913.HK,Prada; Miu Miu,2,2012-09-20,2012-09-20,2012-09-25,FTSEMIB.MI
E00358,milan,SS,2012,BC.MI,BC.MI,Brunello Cucinelli,1,2012-09-20,2012-09-20,2012-09-25,FTSEMIB.MI
E00359,milan,SS,2012,MONC.MI,MONC.MI,Moncler,1,2012-09-20,2012-09-20,2012-09-25,FTSEMIB.MI
E00360,milan,SS,2012,SFER.MI,SFER.MI,Salvatore Ferragamo,1,2012-09-20,2012-09-20,2012-09-25,FTSEMIB.MI
E00361,milan,SS,2012,MC.PA,MC.PA,Fendi,1,2012-09-20,2012-09-20,2012-09-25,FTSEMIB.MI
E00362,paris,SS,2012,MC.PA,MC.PA,Louis Vuitton; Dior; Loewe; Celine; Givenchy; Fendi,6,2012-09-26,2012-09-26,2012-10-01,^FCHI
E00363,paris,SS,2012,KER.PA,KER.PA,Saint Laurent; Balenciaga; Alexander McQueen,3,2012-09-26,2012-09-26,2012-10-01,^FCHI
E00364,paris,SS,2012,RMS.PA,RMS.PA,Hermès,1,2012-09-26,2012-09-26,2012-10-01,^FCHI
