date,material,nowcast_z,direction,tickers
2018-03-01,polyester,0.677,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-03-01,technical,,flat,3402.T
2018-03-01,viscose,-0.2887,flat,LNZ.VI
2018-04-01,cotton,0.3755,flat,CT=F
2018-04-01,denim,1.1819,long,CT=F
2018-04-01,leather,-0.1205,flat,LE=F
2018-04-01,nylon,,flat,3402.T;CL=F
2018-04-01,polyester,2.708,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-04-01,technical,,flat,3402.T
2018-04-01,viscose,-0.2887,flat,LNZ.VI
2018-05-01,cotton,1.5021,long,CT=F
2018-05-01,denim,1.5822,long,CT=F
2018-05-01,leather,-0.3106,flat,LE=F
2018-05-01,nylon,,flat,3402.T;CL=F
2018-05-01,polyester,0.4022,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-05-01,technical,,flat,3402.T
2018-05-01,viscose,3.1754,long,LNZ.VI
2018-06-01,cotton,2.3309,long,CT=F
2018-06-01,denim,0.5311,flat,CT=F
2018-06-01,leather,-1.141,short,LE=F
2018-06-01,nylon,,flat,3402.T;CL=F
2018-06-01,polyester,2.011,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-06-01,technical,,flat,3402.T
2018-06-01,viscose,2.1409,long,LNZ.VI
2018-07-01,cotton,1.789,long,CT=F
2018-07-01,denim,-0.6568,flat,CT=F
2018-07-01,leather,-1.4313,short,LE=F
2018-07-01,nylon,,flat,3402.T;CL=F
2018-07-01,polyester,0.1246,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-07-01,technical,,flat,3402.T
2018-07-01,viscose,1.6583,long,LNZ.VI
2018-08-01,cotton,1.5635,long,CT=F
2018-08-01,denim,-1.8,short,CT=F
2018-08-01,leather,-1.2334,short,LE=F
2018-08-01,nylon,,flat,3402.T;CL=F
2018-08-01,polyester,0.0,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-08-01,technical,,flat,3402.T
2018-08-01,viscose,1.6583,long,LNZ.VI
2018-09-01,cotton,0.6648,flat,CT=F
2018-09-01,denim,0.0554,flat,CT=F
2018-09-01,leather,-0.7359,flat,LE=F
2018-09-01,nylon,,flat,3402.T;CL=F
2018-09-01,polyester,1.7802,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-09-01,technical,,flat,3402.T
2018-09-01,viscose,-0.677,flat,LNZ.VI
2018-10-01,cotton,-0.8313,flat,CT=F
2018-10-01,denim,0.3188,flat,CT=F
2018-10-01,leather,0.0512,flat,LE=F
2018-10-01,nylon,,flat,3402.T;CL=F
2018-10-01,polyester,1.6583,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-10-01,technical,,flat,3402.T
2018-10-01,viscose,-0.677,flat,LNZ.VI
2018-11-01,cotton,-0.8313,flat,CT=F
2018-11-01,denim,0.6351,flat,CT=F
2018-11-01,leather,0.8332,flat,LE=F
2018-11-01,nylon,,flat,3402.T;CL=F
2018-11-01,polyester,1.354,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2018-11-01,technical,,flat,3402.T
2018-11-01,viscose,-0.677,flat,LNZ.VI
