date,material,nowcast_z,direction,tickers
2019-01-01,leather,0.6576,flat,LE=F
2019-01-01,nylon,-0.4364,flat,3402.T;CL=F
2019-01-01,polyester,1.7377,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-01-01,technical,-0.23,flat,3402.T
2019-01-01,viscose,0.9623,flat,LNZ.VI
2019-02-01,cotton,-1.9434,short,CT=F
2019-02-01,denim,-0.7775,flat,CT=F
2019-02-01,leather,0.6576,flat,LE=F
2019-02-01,nylon,-0.4364,flat,3402.T;CL=F
2019-02-01,polyester,1.7377,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-02-01,technical,-0.23,flat,3402.T
2019-02-01,viscose,0.9623,flat,LNZ.VI
2019-03-01,cotton,-0.3511,flat,CT=F
2019-03-01,denim,-0.071,flat,CT=F
2019-03-01,leather,0.7623,flat,LE=F
2019-03-01,nylon,-0.8005,flat,3402.T;CL=F
2019-03-01,polyester,1.3153,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-03-01,technical,0.9927,flat,3402.T
2019-03-01,viscose,-0.406,flat,LNZ.VI
2019-04-01,cotton,-0.9917,flat,CT=F
2019-04-01,denim,1.0731,long,CT=F
2019-04-01,leather,0.9524,flat,LE=F
2019-04-01,nylon,-1.5724,short,3402.T;CL=F
2019-04-01,polyester,0.6899,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-04-01,technical,3.5964,long,3402.T
2019-04-01,viscose,0.7618,flat,LNZ.VI
2019-05-01,cotton,-0.3622,flat,CT=F
2019-05-01,denim,0.1131,flat,CT=F
2019-05-01,leather,-0.8593,flat,LE=F
2019-05-01,nylon,-1.1674,short,3402.T;CL=F
2019-05-01,polyester,0.8828,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-05-01,technical,0.1243,flat,3402.T
2019-05-01,viscose,-0.1121,flat,LNZ.VI
2019-06-01,cotton,-0.9191,flat,CT=F
2019-06-01,denim,-0.0897,flat,CT=F
2019-06-01,leather,-0.2956,flat,LE=F
2019-06-01,nylon,0.7294,flat,3402.T;CL=F
2019-06-01,polyester,0.1095,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-06-01,technical,0.1481,flat,3402.T
2019-06-01,viscose,1.2925,long,LNZ.VI
2019-07-01,cotton,-0.4517,flat,CT=F
2019-07-01,denim,-0.3584,flat,CT=F
2019-07-01,leather,-0.8719,flat,LE=F
2019-07-01,nylon,-1.4874,short,3402.T;CL=F
2019-07-01,polyester,-0.1784,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-07-01,technical,0.1376,flat,3402.T
2019-07-01,viscose,1.1304,long,LNZ.VI
2019-08-01,cotton,-0.511,flat,CT=F
2019-08-01,denim,1.6404,long,CT=F
2019-08-01,leather,-1.1479,short,LE=F
2019-08-01,nylon,-0.2604,flat,3402.T;CL=F
2019-08-01,polyester,-1.2784,short,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-08-01,technical,-0.8561,flat,3402.T
2019-08-01,viscose,0.9912,flat,LNZ.VI
2019-09-01,cotton,-0.1531,flat,CT=F
2019-09-01,denim,-0.9417,flat,CT=F
2019-09-01,leather,0.5185,flat,LE=F
2019-09-01,nylon,1.745,long,3402.T;CL=F
2019-09-01,polyester,-0.2674,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-09-01,technical,-0.383,flat,3402.T
2019-09-01,viscose,-0.4507,flat,LNZ.VI
2019-10-01,cotton,0.2718,flat,CT=F
2019-10-01,denim,2.8829,long,CT=F
2019-10-01,leather,-1.9744,short,LE=F
2019-10-01,nylon,-0.3789,flat,3402.T;CL=F
2019-10-01,polyester,0.3698,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-10-01,technical,-0.7637,flat,3402.T
2019-10-01,viscose,-0.2585,flat,LNZ.VI
2019-11-01,cotton,-0.1815,flat,CT=F
2019-11-01,denim,-0.3398,flat,CT=F
2019-11-01,leather,-0.7566,flat,LE=F
2019-11-01,nylon,1.5034,long,3402.T;CL=F
2019-11-01,polyester,1.0902,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-11-01,technical,-0.9173,flat,3402.T
2019-11-01,viscose,-0.7379,flat,LNZ.VI
2019-12-01,cotton,-0.3374,flat,CT=F
2019-12-01,denim,1.7013,long,CT=F
2019-12-01,leather,1.9121,long,LE=F
2019-12-01,nylon,-0.9331,flat,3402.T;CL=F
2019-12-01,polyester,1.2775,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-12-01,technical,-0.6684,flat,3402.T
2019-12-01,viscose,-1.6046,short,LNZ.VI
2020-01-01,cotton,0.6102,flat,CT=F
2020-01-01,denim,-0.1992,flat,CT=F
2020-01-01,leather,-0.8442,flat,LE=F
2020-01-01,nylon,0.9583,flat,3402.T;CL=F
2020-01-01,polyester,1.8352,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-01-01,technical,-0.6619,flat,3402.T
2020-01-01,viscose,-1.8132,short,LNZ.VI
2020-02-01,cotton,1.3444,long,CT=F
2020-02-01,denim,-0.5233,flat,CT=F
2020-02-01,leather,1.1948,long,LE=F
2020-02-01,nylon,-0.5997,flat,3402.T;CL=F
2020-02-01,polyester,-0.3678,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-02-01,technical,0.0608,flat,3402.T
2020-02-01,viscose,-0.9351,flat,LNZ.VI
2020-03-01,cotton,-0.1646,flat,CT=F
2020-03-01,denim,-0.2695,flat,CT=F
2020-03-01,leather,0.3667,flat,LE=F
2020-03-01,nylon,-0.3059,flat,3402.T;CL=F
2020-03-01,polyester,0.1218,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-03-01,technical,0.2208,flat,3402.T
2020-03-01,viscose,-0.441,flat,LNZ.VI
2020-04-01,cotton,-0.9377,flat,CT=F
2020-04-01,denim,0.1463,flat,CT=F
2020-04-01,leather,-0.354,flat,LE=F
