retailer,month,material,share,n_items,known_date,thin_sample
asos,2019-04,elastane,0.0,11,2019-04-30,True
asos,2019-04,leather,0.0,11,2019-04-30,True
asos,2019-04,linen,0.0,11,2019-04-30,True
asos,2019-04,nylon,0.0,11,2019-04-30,True
asos,2019-04,other,0.0,11,2019-04-30,True
asos,2019-04,polyester,1.0,11,2019-04-30,True
asos,2019-04,silk,0.0,11,2019-04-30,True
asos,2019-04,technical,0.0,11,2019-04-30,True
asos,2019-04,viscose,0.0,11,2019-04-30,True
asos,2019-04,wool,0.0,11,2019-04-30,True
asos,2019-05,cashmere,0.0,10,2019-05-31,True
asos,2019-05,cotton,0.0,10,2019-05-31,True
asos,2019-05,denim,0.0,10,2019-05-31,True
asos,2019-05,elastane,0.0,10,2019-05-31,True
asos,2019-05,leather,0.0,10,2019-05-31,True
asos,2019-05,linen,0.0,10,2019-05-31,True
asos,2019-05,nylon,0.0,10,2019-05-31,True
asos,2019-05,other,0.0,10,2019-05-31,True
asos,2019-05,polyester,1.0,10,2019-05-31,True
asos,2019-05,silk,0.0,10,2019-05-31,True
asos,2019-05,technical,0.0,10,2019-05-31,True
asos,2019-05,viscose,0.0,10,2019-05-31,True
asos,2019-05,wool,0.0,10,2019-05-31,True
asos,2019-06,cashmere,0.0,9,2019-06-30,True
asos,2019-06,cotton,0.0,9,2019-06-30,True
asos,2019-06,denim,0.0,9,2019-06-30,True
asos,2019-06,elastane,0.0,9,2019-06-30,True
asos,2019-06,leather,0.0,9,2019-06-30,True
asos,2019-06,linen,0.0,9,2019-06-30,True
asos,2019-06,nylon,0.0,9,2019-06-30,True
asos,2019-06,other,0.0,9,2019-06-30,True
asos,2019-06,polyester,1.0,9,2019-06-30,True
asos,2019-06,silk,0.0,9,2019-06-30,True
asos,2019-06,technical,0.0,9,2019-06-30,True
asos,2019-06,viscose,0.0,9,2019-06-30,True
asos,2019-06,wool,0.0,9,2019-06-30,True
asos,2019-09,cashmere,0.0,36,2019-09-30,False
asos,2019-09,cotton,0.479861,36,2019-09-30,False
asos,2019-09,denim,0.0,36,2019-09-30,False
asos,2019-09,elastane,0.011389,36,2019-09-30,False
asos,2019-09,leather,0.0,36,2019-09-30,False
asos,2019-09,linen,0.007639,36,2019-09-30,False
asos,2019-09,nylon,0.074226,36,2019-09-30,False
asos,2019-09,other,0.03137,36,2019-09-30,False
asos,2019-09,polyester,0.295278,36,2019-09-30,False
asos,2019-09,silk,0.0,36,2019-09-30,False
asos,2019-09,technical,0.0,36,2019-09-30,False
asos,2019-09,viscose,0.095556,36,2019-09-30,False
asos,2019-09,wool,0.004682,36,2019-09-30,False
asos,2019-10,cashmere,0.0,37,2019-10-31,False
asos,2019-10,cotton,0.037838,37,2019-10-31,False
asos,2019-10,denim,0.063063,37,2019-10-31,False
asos,2019-10,elastane,0.010247,37,2019-10-31,False
asos,2019-10,leather,0.027027,37,2019-10-31,False
asos,2019-10,linen,0.0,37,2019-10-31,False
asos,2019-10,nylon,0.0,37,2019-10-31,False
asos,2019-10,other,0.104054,37,2019-10-31,False
asos,2019-10,polyester,0.693447,37,2019-10-31,False
asos,2019-10,silk,0.0,37,2019-10-31,False
asos,2019-10,technical,0.014865,37,2019-10-31,False
asos,2019-10,viscose,0.035946,37,2019-10-31,False
asos,2019-10,wool,0.013514,37,2019-10-31,False
asos,2019-11,cashmere,0.0,25,2019-11-30,True
asos,2019-11,cotton,0.061,25,2019-11-30,True
asos,2019-11,denim,0.08,25,2019-11-30,True
asos,2019-11,elastane,0.029165,25,2019-11-30,True
asos,2019-11,leather,0.0,25,2019-11-30,True
asos,2019-11,linen,0.011,25,2019-11-30,True
asos,2019-11,nylon,0.0092,25,2019-11-30,True
asos,2019-11,other,0.0,25,2019-11-30,True
asos,2019-11,polyester,0.700035,25,2019-11-30,True
asos,2019-11,silk,0.0,25,2019-11-30,True
asos,2019-11,technical,0.0,25,2019-11-30,True
asos,2019-11,viscose,0.0816,25,2019-11-30,True
asos,2019-11,wool,0.028,25,2019-11-30,True
asos,2019-12,cashmere,0.0,22,2019-12-31,True
asos,2019-12,cotton,0.420455,22,2019-12-31,True
asos,2019-12,denim,0.0,22,2019-12-31,True
asos,2019-12,elastane,0.011294,22,2019-12-31,True
asos,2019-12,leather,0.0,22,2019-12-31,True
asos,2019-12,linen,0.0,22,2019-12-31,True
asos,2019-12,nylon,0.002185,22,2019-12-31,True
asos,2019-12,other,0.031818,22,2019-12-31,True
asos,2019-12,polyester,0.454038,22,2019-12-31,True
asos,2019-12,silk,0.0,22,2019-12-31,True
asos,2019-12,technical,0.0,22,2019-12-31,True
asos,2019-12,viscose,0.066573,22,2019-12-31,True
asos,2019-12,wool,0.013636,22,2019-12-31,True
asos,2020-01,cashmere,0.0,14,2020-01-31,True
asos,2020-01,cotton,0.0,14,2020-01-31,True
asos,2020-01,denim,0.0,14,2020-01-31,True
asos,2020-01,elastane,0.205952,14,2020-01-31,True
asos,2020-01,leather,0.0,14,2020-01-31,True
asos,2020-01,linen,0.0,14,2020-01-31,True
asos,2020-01,nylon,0.078571,14,2020-01-31,True
asos,2020-01,other,0.042857,14,2020-01-31,True
asos,2020-01,polyester,0.613095,14,2020-01-31,True
asos,2020-01,silk,0.0,14,2020-01-31,True
asos,2020-01,technical,0.059524,14,2020-01-31,True
asos,2020-01,viscose,0.0,14,2020-01-31,True
asos,2020-01,wool,0.0,14,2020-01-31,True
asos,2020-02,cashmere,0.0,36,2020-02-29,False
asos,2020-02,cotton,0.218882,36,2020-02-29,False
asos,2020-02,denim,0.059117,36,2020-02-29,False
asos,2020-02,elastane,0.06056,36,2020-02-29,False
asos,2020-02,leather,0.040123,36,2020-02-29,False
asos,2020-02,linen,0.0,36,2020-02-29,False
asos,2020-02,nylon,0.090004,36,2020-02-29,False
asos,2020-02,other,0.147194,36,2020-02-29,False
asos,2020-02,polyester,0.294778,36,2020-02-29,False
asos,2020-02,silk,0.0,36,2020-02-29,False
asos,2020-02,technical,0.027778,36,2020-02-29,False
asos,2020-02,viscose,0.058196,36,2020-02-29,False
asos,2020-02,wool,0.003367,36,2020-02-29,False
asos,2020-03,cashmere,0.0,37,2020-03-31,False
asos,2020-03,cotton,0.15545,37,2020-03-31,False
asos,2020-03,denim,0.140047,37,2020-03-31,False
asos,2020-03,elastane,0.013836,37,2020-03-31,False
asos,2020-03,leather,0.034976,37,2020-03-31,False
asos,2020-03,linen,0.0,37,2020-03-31,False
asos,2020-03,nylon,0.045738,37,2020-03-31,False
asos,2020-03,other,0.121169,37,2020-03-31,False
asos,2020-03,polyester,0.353378,37,2020-03-31,False
asos,2020-03,silk,0.0,37,2020-03-31,False
asos,2020-03,technical,0.027027,37,2020-03-31,False
asos,2020-03,viscose,0.105676,37,2020-03-31,False
asos,2020-03,wool,0.002703,37,2020-03-31,False
asos,2020-04,cashmere,0.0,35,2020-04-30,False
asos,2020-04,cotton,0.327497,35,2020-04-30,False
asos,2020-04,denim,0.035165,35,2020-04-30,False
asos,2020-04,elastane,0.032373,35,2020-04-30,False
asos,2020-04,leather,0.02381,35,2020-04-30,False
asos,2020-04,linen,0.0,35,2020-04-30,False
asos,2020-04,nylon,0.002857,35,2020-04-30,False
asos,2020-04,other,0.090476,35,2020-04-30,False
asos,2020-04,polyester,0.310702,35,2020-04-30,False
asos,2020-04,silk,0.0,35,2020-04-30,False
asos,2020-04,technical,0.0,35,2020-04-30,False
asos,2020-04,viscose,0.177121,35,2020-04-30,False
asos,2020-04,wool,0.0,35,2020-04-30,False
asos,2020-05,cashmere,0.0,38,2020-05-31,False
asos,2020-05,cotton,0.494962,38,2020-05-31,False
asos,2020-05,denim,0.0,38,2020-05-31,False
asos,2020-05,elastane,0.022519,38,2020-05-31,False
asos,2020-05,leather,0.094169,38,2020-05-31,False
asos,2020-05,linen,0.0,38,2020-05-31,False
asos,2020-05,nylon,0.0,38,2020-05-31,False
asos,2020-05,other,0.116357,38,2020-05-31,False
asos,2020-05,polyester,0.245677,38,2020-05-31,False
asos,2020-05,silk,0.0,38,2020-05-31,False
asos,2020-05,technical,0.026316,38,2020-05-31,False
asos,2020-05,viscose,0.0,38,2020-05-31,False
asos,2020-05,wool,0.0,38,2020-05-31,False
asos,2020-06,cashmere,0.0,36,2020-06-30,False
asos,2020-06,cotton,0.218399,36,2020-06-30,False
asos,2020-06,denim,0.0,36,2020-06-30,False
asos,2020-06,elastane,0.039934,36,2020-06-30,False
asos,2020-06,leather,0.069444,36,2020-06-30,False
asos,2020-06,linen,0.0,36,2020-06-30,False
asos,2020-06,nylon,0.042361,36,2020-06-30,False
asos,2020-06,other,0.097222,36,2020-06-30,False
